label,type,reason,link,is_label,is_coupuled,source,social,hybrid,group
Sleep,Stress,Sleep is essential and positively impacts physical and mental health.,https://www.takingcharge.csh.umn.edu/why-sleep-important,T,F,"Try getting better sleep, sleep affects human bodies in many ways, some short term and some long term. Take a look at the link provided for more information","Try getting better sleep, it is something your friends also like",Your friends like to get good sleep you should also try to get good sleep. Take a look at the link provided for more information,"Most of you guys like to get a good sleep. Sleep affects human bodies in many ways, some short term and some long term. Take a look at the link provided for more information"
Use ‘I’ statements to deal with conflicts,Stress,Using ‘I’ statements may  contribute to effective conflict resolution,https://www.communicationandconflict.com/i-statements.html,T,F,"Try using the 'I' statement more in your conversations, it can improve your communication","Try using the 'I' statement more in your conversations, it is something your friends also like","Try using the 'I' statement more in your conversations, it can improve your communication, and your friends also like it",You guys should try to use more ‘I’ statements as it can improve your communication and most of you like it
Practice Stress Reduction techniques,Stress,Practicing relaxation techniques is a stress-reducing strategy that produces a greater sense of wellbeing,https://www.takingcharge.csh.umn.edu/learn-relaxation-techniques,T,F,"Try some of the stress deduction techniques from the link below, they can help you to relax and stay calm","Your friends like stress reduction techniques, try some of them from the link below",Your friends like stress reduction techniques and these techniques can also help you relax and stay calm. Try some of the stress deduction techniques from the link below,"You guys should try some stress reduction techniques from the link below, as it can help you to relax and stay calm. It is also something most of you like"
Yoga,Exercise,"Yoga reduces stress, and increases strength and flexibility. ",https://www.takingcharge.csh.umn.edu/yoga,T,F,"Try yoga, it can help you improve strength and flexibility","Your friends like yoga, you should also try it",Your friends like yoga and it improves strength and flexibility. You should also try it,"You guys should try yoga, it improves strength and flexibility. And most of you like it"
Physical Activity & Fitness,Exercise,"Aerobics improves health, protects against disease, and boosts moods.",https://www.takingcharge.csh.umn.edu/physical-activity-fitness,T,F,"Try some aerobics activities, they can improve health and boosts moods, read more about them at the link","Your friends like aerobics activities, you should also try it",Your friends like aerobics activities and it also improves health and boosts mood. You should try it.,"You guys should try some aerobics activities, as they can improve health and boosts moods. It is also something most of you guys like"
Stretching,Exercise,"Stretching improves cardiovascular health, balance and flexibility.",https://www.takingcharge.csh.umn.edu/include-aerobic-activities,T,F,"Try stretching, as it can improve balance and flexibility.","Your friends like stretching, so you should also try it","Your friends like stretching, it also improves balance and flexibility. You should try it","You guys should try stretching as it improves balance and flexibility, most of you guys like it"
Going to the Gym,Exercise,Fitness improves physical wellbeing and overall mental health.,https://umdrsop.d.umn.edu/programs/fitness-wellness,T,F,"Try going to the Gym, it improves physical well-being and mood","Your friends like to go to the gym, you should also try it","Your friends like to go to the gym, it also improves physical well-being and mood. You should also try it","You guys should try going to the gym as it can improve physical well-being and mood. Also, most of you like it"
Walking through campus,Exercise,"Walking strengthens muscles and bones, improves physical energy and mood.",https://www.takingcharge.csh.umn.edu/include-aerobic-activities,T,F,"Try going for walks, it has been shown to strengthen muscles and bones as well as improve mood","Your friends like going for walks, you should also try it","Walking has been shown to strengthen muscles and bones as well as improve mood, it is also something your friends like. You should try it","You guys should try going for walks as it has been shown to strengthen muscles and bones as well as improves mood, also most of you like it"
Hiking,Exercise,Hiking can help keep your thinking and learning skills sharp and help with better sleep.,https://www.cdc.gov/physicalactivity/basics/pa-health/index.htm,T,F,"Try going for a hike, learning new skills sharps your mind","Try going for a hike, it is something your friends also like","Try going for a hike, learning new skills sharps your mind and your friends like","You guys should go for a hike, it is a great skill and most of you like it"
Cardio,Exercise,"Cardio improves fitness and helps to improve sleep, in turn reducing stress anxiety.",https://umdrsop.d.umn.edu/programs/fitness-wellness/group-fitness,T,F,"Try doing more cardio, as it can improve sleep and improve mood","Try doing more cardio, it is something your friends also like","Try doing more cardio, as it can improve sleep and improve mood, and your friends like","You guys should do more cardio, it can improve sleep and improve mood. Most of you guys like it"
Sports,Exercise,"Sports calm your mind, strengthen your muscles, and improve your overall well-being.",https://umdrsop.d.umn.edu/programs/sport-clubs,T,F,"Try some new sports, they can calm your mind, strengthen your muscles, and improve your mood","Try some new sport, it is something your friends also like","Try some new sport, it can calm your mind, strengthen your muscles, and improve your mood and your friends like","You guys should try new sports, it can calm your mind, strengthen your muscles, and improve your mood. Most of you guys like it"
Get outside,Exercise,"Getting outside relaxes and refreshes us, enhancing positivity",https://www.takingcharge.csh.umn.edu/nature-us,T,F,"Try going outside, it can be a relaxing and refreshes experience and can improve mood","Try going outside, it is something your friends also like","Try going outside, it can be a relaxing and refreshes experience and can improve mood and your friends like","You guys should go outside as it can help you relax, refresh your mind and improve your mood. Most of you guys like it"
Short Workout,Exercise,Short workouts are just as effective as a full gym session for your body and mind,https://www.nwpc.com/10-minute-workouts/,T,F,"Try shorter workouts, they can improve your physics and better your mood","Try shorter workouts, it is something your friends also like","Try shorter workouts, they can improve your physics and better your mood, and your friends like","You guys should try shorter workouts, they can improve your physics and better your mood, and most of you guys like it"
Eating Whole Foods,Food,Eating whole foods provides adequate nutrients and helps maintain healthy weight.,https://www.takingcharge.csh.umn.edu/why-eat-whole-foods,T,F,"Try having some whole foods, as they provide adequate nutrients and help maintain a healthy weight","Try having some whole foods, it is something your friends also like","Try having some whole foods, as they provide adequate nutrients and help maintain a healthy weight and your friends like","You guys should Tty having some whole foods, as they provide adequate nutrients and helps maintain a healthy weight, and most of you like"
Drinking water,Food,"Drinking water serves as the body’s solvent, flushes toxins and excess nutrients.",https://www.cdc.gov/nutrition/data-statistics/plain-water-the-healthier-choice.html,T,F,"Try drinking more water, it can help your body and mind","Your friends like being hydrated, you should also drink more water","Your friends like being hydrated, it can help your body and mind, you should also drink more water","You guys should try being hydrated, it can help your body and mind, you should also drink more water. Most of you like it"
Eating fruit and vegetables,Food,Eating fruits and vegetables increase feeling of fullness and promotes healing,https://www.takingcharge.csh.umn.edu/how-should-i-start,T,F,"Try having more fruits and vegetables, as they can help you feel fuller and promotes healing","Try having more fruits and vegetables, it is something your friends also like it","Try having more fruits and vegetables, as they can help you feel fuller and promotes healing. Your friends also like it","You guys should try having more fruits and vegetables, as they can help you feel fuller and promotes healing. Most of you like it"
Pay attention as you eat,Food,Eating under stress may affect  what you eat and digestion.,https://www.takingcharge.csh.umn.edu/mindfulness-helps-us-digest-and-enjoy-our-food,T,F,"Don't let emotion make you eat what you shouldn't, eating under stress can impact your digestion","Don't let emotion make you eat what you shouldn't, your friends also like it","Don't let emotion make you eat what you shouldn't, eating under stress can impact your digestion. Your friends also like it","You guys should not let emotion make you eat what you shouldn't, eating under stress can impact your digestion. Most of you like this"
Eating a variety of foods,Food,Diversifying foods boosts mood and immune system.,https://www.takingcharge.csh.umn.edu/how-should-i-start,T,F,"Try eating more different kinds of foods, it can boost mood and immune system.","Try eating more different kinds of foods, it is something your friends also like","Try eating more different kinds of foods, it can boost mood and immune system. and your friends like","You guys should try eating more different kinds of foods, it can boost mood and immune system. Most of you like this"
Including good fats into your diet,Food,Good fats improves the immune system and lowers risk of disease.,https://www.takingcharge.csh.umn.edu/how-should-i-start,T,F,"Try including good fats in your diet, it can improve the immune system and lowers the risk of disease","Try including good fats in your diet, it is something your friends also like","Try including good fats in your diet, it can improve the immune system and lowers the risk of disease, also your friends like it","You guys should try including good fats in your diet, it can improve the immune system and lowers the risk of disease. Most of you like it"
Make eating a positive experience,Food,Mindful eating reduces overeating and increases your awareness while eating.,https://www.takingcharge.csh.umn.edu/make-eating-positive-experience ,T,F,"Be mindful of what you eat, being mindful while eating reduces overeating","Be mindful of what you eat, it is something your friends also like to do","You should try being more mindful of what you eat, being mindful while eating reduces overeating. Most of you guys like it.","You guys should try being more mindful of what you eat, being mindful while eating reduces overeating. Most of you guys like mindful eating."
Combine healthy eating with exercise,Food,Diet alone is not as effective in achieving a healthy body weight.,https://www.takingcharge.csh.umn.edu/what-experts-recommend-healthy-eating,T,F,"Healthy eating alone is not as effective as Healthy eating combined with exercise, try combing the two","Your friends like to combine healthy eating with exercise, you should also try it","Your friends like to combine healthy eating with exercise, it can be more effective. You should also try it","You guys should try to combine healthy eating with exercise, it can be more effective and most of you like it"
Eat Probiotic-rich foods,Food,Probiotic-rich foods such as yogurt may help with social anxiety.,http://www.ncbi.nlm.nih.gov/pubmed/25998000,T,F,Have some yogurt it can improve your confidence,"Try having some yogurt, it is something your friends also like","Most of your friends like yogurt, and it can also improve your confidence. Try having some","You guys should try having some yogurt, it can improve your confidence and most of you like it"
Eat Oatmeal for Breakfast,Food,Oatmeal for breakfast can be a great choice to lift your mood.,https://www.healthdigest.com/452260/can-oatmeal-put-you-in-a-better-mood/,T,F,"Try having Oatmeal in your breakfast, it is a great choice to lift your mood","Your friends like to have Oatmeal, you should try it","Your friends like to have Oatmeal, it is also a great choice to lift your mood, you should try it",You guys should try Oatmeal is a great choice to lift your mood also most of you like it
How would you rate your mental and emotional health?,Stress,.,.,F,F,,,,
How would you rate your ability to handle stress?,Stress,.,.,F,F,,,,
How would you rate your amount and quality of sleep?,Stress,.,.,F,F,,,,
How would you rate your level of physical activity?,Exercise,.,.,F,F,,,,
How would you rate your diet and nutrition?,Food,.,.,F,F,,,,
"Caption: Just had a great dinner 

Recommendation: Drinking water serves as the body’s solvent, flushes toxins and excess nutrients.""",Food-Food,.,.,F,T,,,,
"Caption: Just had a great dinner

Recommendation: Stretching improves cardiovascular health, balance and flexibility.",Food-Exercise,.,.,F,T,,,,
"Caption: Just had a great dinner

Recommendation: Sleep is essential and positively impacts physical and mental health.",Food-Stress,.,.,F,T,,,,
"Caption: Had a great workout

Recommendation: Eating fruits and vegetables increase feeling of fullness and promotes healing",Exercise-Food,.,.,F,T,,,,
"Caption: Had a great workout

Recommendation: Stretching improves cardiovascular health, balance and flexibility.",Exercise-Exercise,.,.,F,T,,,,
"Caption: Had a great workout

Recommendation: Lending a helping hand scientifically increases positivity and lengthens lifespan",Exercise-Stress,.,.,F,T,,,,
"Caption: Feeling stressed

Recommendation: Drinking water serves as the body’s solvent, flushes toxins and excess nutrients.",Stress-Food,.,.,F,T,,,,
"Caption: Feeling stressed

Recommendation: Fitness improves physical wellbeing and overall mental health.",Stress-Exercise,.,.,F,T,,,,
"Caption: Feeling stressed

Recommendation: Social interaction boosts confidence and self-esteem, as well as fights stress, depression, and anxiety.",Stress-Stress,.,.,F,T,,,,
